Название вакансии	название компании	зарплата	ссылка на вакансию
Программист C#	ООО Альфа Лаб	200?000 – 300?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/121727039?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик С++ Junior	ООО Интрайс	от 50?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/121382746?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С (Инженер-программист)	СибГМУ	120?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/122281400?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Rust developer	WiseTech	от 250?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/121816366?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист-стажер 1C	Bellerage	не указана	https://tomsk.hh.ru/vacancy/120992604?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист	АО Радар ММС	не указана	https://tomsk.hh.ru/vacancy/109848394?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик C/С++	ООО БУЛАТ	не указана	https://tomsk.hh.ru/vacancy/122415683?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Mobile разработчик	Smart World (Умный мир)	не указана	https://tomsk.hh.ru/vacancy/122354760?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С	ООО ЭЛИТА-ИМУЩЕСТВО	от 80?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/122395132?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (C++)	ООО ЛЭМЗ-Т	не указана	https://tomsk.hh.ru/vacancy/121919333?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик Python (Стажер)	Центр финансовых технологий	не указана	https://tomsk.hh.ru/vacancy/120308107?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер по АСУ ТП (направление программист ВУ)	Компания ЭлеСи, Томск	от 90?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/122330628?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Junior Java разработчик (Стажер)	Центр финансовых технологий	не указана	https://tomsk.hh.ru/vacancy/120258293?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик	ООО ЛЭМЗ-Т	80?000 – 200?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/95877891?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1 категории	АО Научно-производственная фирма Микран	82?000 – 170?000 ? за месяц, до вычета налогов	https://tomsk.hh.ru/vacancy/122146350?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист микроконтроллеров	Компания ЭлеСи, Томск	от 75?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/118061810?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С	Армада, группа компаний	от 90?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/120259114?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист (пл. Ленина,6)	ОГКУ ЦЗН Томской области	50?000 – 120?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/122032291?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
React Frontend Web Developer/разработчик в офис, г. Томск	ООО СистемоСинтез	70?000 – 90?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/122042879?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист	АО Научно-производственная фирма Микран	не указана	https://tomsk.hh.ru/vacancy/122146355?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С	ООО Межениновская птицефабрика	110?000 – 170?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/122174657?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Frontend-разработчик (React, TypeScript)	ООО ЛЭМЗ-Т	не указана	https://tomsk.hh.ru/vacancy/121923820?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик oracle/delphi	ООО Софт Инжиниринг	не указана	https://tomsk.hh.ru/vacancy/106047091?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик мобильных приложений под iOS и Android	ООО Первая Свободная Платформа Легальной Музыки	не указана	https://tomsk.hh.ru/vacancy/121995072?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С	ООО Северский Самовар	не указана	https://tomsk.hh.ru/vacancy/122225909?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С	ФГБУ СИБФНКЦ ФМБА РОССИИ	65?000 – 70?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/122180433?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик 1C (Стажер)	Центр финансовых технологий	не указана	https://tomsk.hh.ru/vacancy/120467633?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Backend-разработчик (Oracle)	ООО Софт Инжиниринг	не указана	https://tomsk.hh.ru/vacancy/117811944?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С	ООО Лидерпак	не указана	https://tomsk.hh.ru/vacancy/120762212?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист станков с ЧПУ	ООО ПК СТАЛЬТОМ	от 100?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/122028043?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист АСУ ТП	ООО Encore	не указана	https://tomsk.hh.ru/vacancy/121220112?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий инженер-программист 1С	Алабуга. Управление цифровой трансформации	от 375?000 ? за месяц, до вычета налогов	https://tomsk.hh.ru/vacancy/122132464?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер по наладке и испытаниям (направление программист ВУ)	Компания ЭлеСи, Томск	от 80?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/122350107?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист микроконтроллеров C++ (г. Новосибирск)	ООО Унискан-Ризерч	130?000 – 180?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/121416425?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Системный аналитик (Стажер)	Центр финансовых технологий	не указана	https://tomsk.hh.ru/vacancy/120524398?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Консультант-программист 1С:Документооборот	ООО Газпром бурение	не указана	https://tomsk.hh.ru/vacancy/122311465?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист Middle/Senior C++ Developer	ООО СИНЕКТА	не указана	https://tomsk.hh.ru/vacancy/121376217?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
PHP разработчик (Symfony)	ООО МКК Русинтерфинанс	от 160?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/121416671?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист АСУ ТП	АО ТГОК Ильменит	88?218 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/121920118?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Разработчик мобильных приложений Android (Стажер)	Центр финансовых технологий	не указана	https://tomsk.hh.ru/vacancy/120767530?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Erlang разработчик	UserGate	не указана	https://tomsk.hh.ru/vacancy/95684202?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Ведущий разработчик интеграций	Алабуга. Управление цифровой трансформации	от 375?000 ? за месяц, до вычета налогов	https://tomsk.hh.ru/vacancy/122137401?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-программист 1С:ERP	ОАО Манотомь	50?000 – 60?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/122029312?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Unity VR/AR developer (Middle)	VRVR	не указана	https://tomsk.hh.ru/vacancy/122249475?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист по встраиваемым системам (Embedded developer)	Алабуга. Проектный менеджмент	от 157?500 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/119690805?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик радиолокационных устройств	ПАО НПО Стрела	от 114?900 ? за месяц, до вычета налогов	https://tomsk.hh.ru/vacancy/122254889?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Инженер-разработчик FPGA	ООО ЛЭМЗ-Т	от 140?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/116054014?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Программист 1С / Аналитик 1С	ООО ТрансСервис	100?000 – 150?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/122030422?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Специалист технической поддержки	ПАО «Газпром нефть» ИТ	не указана	https://tomsk.hh.ru/vacancy/122241172?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
Технолог - программист станков ЧПУ (г. Бердск)	АО Бердский электромеханический завод	от 100?000 ? за месяц, на руки	https://tomsk.hh.ru/vacancy/120731646?query=%D0%BF%D1%80%D0%BE%D0%B3%D1%80%D0%B0%D0%BC%D0%BC%D0%B8%D1%81%D1%82&hhtmFrom=vacancy_search_list
